Date,Open,High,Low,Close,Volume
2020-12-21,1.34004,1.34409,1.31875,1.33122,167573
2020-12-22,1.33124,1.34995,1.33101,1.33207,186437
2020-12-23,1.33207,1.35704,1.33036,1.35215,201462
2020-12-24,1.35214,1.36188,1.3465,1.35362,238023
2020-12-25,1.35362,1.3587,1.35272,1.35408,59672
2020-12-28,1.35452,1.35753,1.3429,1.34504,104725
2020-12-29,1.34504,1.35224,1.34311,1.34935,171957
2020-12-30,1.34933,1.36179,1.34793,1.3607,189457
2020-12-31,1.3607,1.36859,1.35911,1.36709,187729
2021-01-01,1.3671,1.36787,1.36389,1.3663,56515
2021-01-04,1.36455,1.37039,1.35612,1.35778,144016
2021-01-05,1.35774,1.3612,1.35412,1.3593,167962
2021-01-06,1.3593,1.36707,1.35384,1.35507,180055
2021-01-07,1.35507,1.3633,1.35364,1.35492,164866
2021-01-08,1.35487,1.36356,1.35325,1.359,137800
2021-01-09,1.359,1.35992,1.35428,1.35621,44184
2021-01-11,1.35588,1.35697,1.34503,1.34859,102154
2021-01-12,1.34858,1.36315,1.34783,1.36172,109328
2021-01-13,1.36172,1.37009,1.36153,1.36362,116482
2021-01-14,1.36362,1.36837,1.36113,1.368,114622
2021-01-15,1.36801,1.37107,1.35721,1.35837,115168
2021-01-16,1.35837,1.36064,1.35743,1.35769,20202
2021-01-18,1.35922,1.35996,1.35193,1.35743,71230
2021-01-19,1.35744,1.36267,1.3569,1.36182,86318
2021-01-20,1.36184,1.37186,1.36095,1.36319,90102
2021-01-21,1.36321,1.37456,1.3623,1.37245,92291
2021-01-22,1.37248,1.37381,1.36355,1.3669,84273
2021-01-23,1.36697,1.36928,1.36621,1.36784,18697
2021-01-25,1.36763,1.37232,1.36517,1.36707,64027
2021-01-26,1.36706,1.37442,1.36092,1.37418,86876
2021-01-27,1.37419,1.37585,1.36588,1.37031,105588
2021-01-28,1.3703,1.37334,1.36298,1.37194,134824
2021-01-29,1.37194,1.37512,1.3657,1.37275,122084
2021-01-30,1.37274,1.37351,1.36915,1.37023,40231
2021-02-01,1.37052,1.37574,1.3656,1.36623,84985
2021-02-02,1.36622,1.37101,1.36108,1.3628,89721
2021-02-03,1.36283,1.36832,1.36189,1.36442,81934
2021-02-04,1.36441,1.36978,1.35655,1.36572,105743
2021-02-05,1.36572,1.37397,1.36506,1.37233,80242
2021-02-06,1.37239,1.37389,1.37099,1.37291,15783
2021-02-08,1.37151,1.37491,1.368,1.37392,60115
2021-02-09,1.37392,1.37974,1.37215,1.37959,73068
2021-02-10,1.37959,1.38658,1.37812,1.38452,76201
2021-02-11,1.38452,1.38593,1.38118,1.38175,60890
2021-02-12,1.38177,1.38496,1.37754,1.3848,63818
2021-02-13,1.38482,1.38623,1.38434,1.38497,13238
2021-02-15,1.38482,1.39141,1.38482,1.39122,49114
2021-02-16,1.39122,1.39515,1.3869,1.39269,86616
2021-02-17,1.39268,1.39341,1.38358,1.38511,98063
2021-02-18,1.38512,1.39859,1.38294,1.3945,92538
2021-02-19,1.39449,1.40359,1.39434,1.40147,72574
2021-02-20,1.4015,1.40268,1.40005,1.40059,19303
2021-02-22,1.4011,1.40687,1.39803,1.40522,67070
2021-02-23,1.40521,1.4114,1.40447,1.41049,79078
2021-02-24,1.41051,1.42415,1.40889,1.41032,92278
2021-02-25,1.41029,1.4182,1.40819,1.41366,105790
2021-02-26,1.41368,1.41373,1.38876,1.39763,188378
